Uuid,Privilege name,Description,_order:1000
uuid,privilege,description
94a332d0-1d5f-4901-b7ef-14e8fd80ddef,App: datavisualiserui.exportdata,Allow user to export data visualiser data
5ce678f7-105a-42a0-8394-a646886d8e77,App: datavisualiserui.home,Allow user to access the data visualiser app
38510f9d-0f28-4d4f-a643-8e206927f2dc,App: datavisualiserui.save,Allow user to save data visualiser item
79d143ed-f4be-4331-b560-b021064b9f1d,App: datavisualiserui.updatedata,Allow user to update data visualiser data
9c9d3fa6-10a9-11e8-b642-0ed5f89f718b,App: fingerprint.add,Able to add Patient fingerprint
6eb0cf64-d8b4-4ff9-8a6b-037b6468c696,App: fingerprint.addPatientFingerprint,Privilege to allow adding patient fingerprint
8a27a36e-afb6-4c9d-82af-63325485a2d2,App: fingerprint.configs,Privilege to allow adding changing fingerprint settings
9c9d4302-10a9-11e8-b642-0ed5f89f718b,App: fingerprint.findPatient,Able to search patient fingerprint
4585ae16-4f1a-4df5-b1c5-221e716f8213,App: fingerprint.fingerprintDetails,Privilege to allow access to the fingerprint details on the patients dashboard
fc1a72d9-ea4a-445d-9392-2c21c25d9431,App: fingerprint.statistic,Privilege to allow access to fingerprint statistics
61de3fbe-7f03-4608-b65c-b881634ae83c,App: formentryapp.forms,Manages implementation-defined forms and attaches them to the UI
6f75562e-35c8-11ef-9df0-00155d919f83,App: labmanagement.approvalconfigurations,Able to view lab approval configurations
648c6d15-35c8-11ef-9df0-00155d919f83,App: labmanagement.dashboard,Able to view lab management application dashboard
c04aac47-35c8-11ef-9df0-00155d919f83,App: labmanagement.reports,Able to view lab reports
1b4c1810-707b-11ef-a8bb-00155d79962d,App: labmanagement.repository,Able to access sample repository
9490deb2-35c8-11ef-9df0-00155d919f83,App: labmanagement.samples,Able to view lab samples
4b765300-6f52-11ef-81e5-00155d503f06,App: labmanagement.storage,Able to view lab storage
79c1e259-35c8-11ef-9df0-00155d919f83,App: labmanagement.testconfigurations,Able to view lab test configurations
8539ed99-35c8-11ef-9df0-00155d919f83,App: labmanagement.testrequests,Able to view lab tests requested
ad4063a2-35c8-11ef-9df0-00155d919f83,App: labmanagement.testresults,Able to view lab test results
a3d58dab-35c8-11ef-9df0-00155d919f83,App: labmanagement.worksheets,Able to view lab worksheets
71377b46-a026-4d14-8330-4907973c300d,App: patientQueue.clinician.dashboard,Access to the clinician dashboard
504d7087-3f39-4b95-8f1f-cd5db4c6b7ae,App: patientQueue.triage.dashboard,Access to the triage dashboard
dadeec04-6e88-43d1-9704-cacd1d313b22,App: patientqueueing.providerDashboard,Able to access Provider Dashboard
f4d8ed58-8ab6-4968-890c-6955af667054,App: referenceapplication.legacyAdmin,Able to access the advanced administration app
0f7f72b8-51e5-49aa-a0a5-36e775e1a124,App: referenceapplication.manageApps,Able to manage app definitions
77d69da9-8fee-41a3-9fe4-9cdc094d6236,App: referenceapplication.manageExtensions,Able to manage extension definitions
ee23fb87-dbfe-40a3-a620-5fc4b63c473e,App: referenceapplication.styleGuide,Able to access the style guide app
f426b38a-969c-4105-834f-f868d214bcf4,App: referenceapplication.vitals,Able to access the vitals app
54ee5c93-655c-41a5-8fd5-9c08b1e4d1b1,App: registrationapp.registerPatient,Able to access the register patient app
cc9b0e0c-ecaf-479d-9d7c-3071c0c1bff2,App: stockmanagement.dashboard,Able to view stock management application dashboard
27334ff0-698d-11ed-a1c5-806d973f13a9,App: stockmanagement.reports,Able to view stock reports
ffeb0885-293e-433b-a279-8de6f98026b2,App: stockmanagement.stockItems,Able to view stock items
5d0d6f61-2188-11ed-9dff-507b9dea1806,App: stockmanagement.stockoperations,Able to view stock operations
5a421e1a-28ad-11ed-bdcb-507b9dea1806,App: stockmanagement.stockOperationType,Able to view stock operation types
4fec772e-262a-11ed-a544-507b9dea1806,App: stockmanagement.stockSources,Able to view stock sources
a627c62a-efa1-4ac9-88e8-b816facfce0a,App: stockmanagement.userRoleScopes,Able to view stock management user role scope
4b926c88-5f1a-4a1b-80f1-ec43b9b6003e,App: ugandaemr.artclinic,Access to the HIV clinic provider dashboard
96c5dbe1-2c73-4f95-9b37-b24277617f6d,App: ugandaemr.backup.backupDatabase,Access App to the Backup
a1392aef-fa65-4cdf-b661-a780da5466e0,App: ugandaemr.findPatient,find patient ugandaemr app privilege
159531f7-c1f3-40c4-8476-5b80bd9a868d,App: ugandaemr.laboratory,Access to the laboratory dashboard
5768ba8d-d355-4e66-9a9c-ae411d86ce99,App: ugandaemr.outpatient,Access to the OPD clinic provider dashboard
7961a345-954d-405d-b376-1734dcd3aa26,App: ugandaemr.pharmacy,Access to the Pharmacy dashboard
515a0ce8-a4e5-4b7e-b210-3f64ad96302e,App: ugandaemr.report.cohortBuilder,Access Link to Manage cohort builder reports
a803f29c-7d46-4dcc-9875-13309e4a4691,App: ugandaemr.reports,ugandaemr report access privillege
f165fc95-f2d6-48a6-b4ab-9a21bc286552,App: ugandaemr.spa,Access Spa
0dc1b8a4-2b14-4a92-a365-855afd2a44f2,App: ugandaemr.tbclinic,Access to the TB Clinic provider dashboard
3fb79f0d-ad49-450a-9f55-ad360074d721,App: ugandaemr.triage,Access to the triage provider dashboard
76faf32f-8e77-493e-b290-7697b165bffb,App: ugandaemr.widget.artStatus,Access ART Status on patient dashboard
e6280dd4-52b0-47f9-81f1-670774b5af8e,App: ugandaemr.widget.dataIntegrityViolation,Access data integrity Violations on patient dashboard
56edc97f-5acd-4334-bfef-8883a6e8a04c,App: ugandaemr.widget.directionsToResidence,Access Directions to Residence on patient dashboard
332fd951-ca78-4c85-97cb-f4146c69f823,App: ugandaemr.widget.dsdmPatientHistory,For Widget that shows the patient history in DSDM Models
2dc27a93-a7d3-496e-b5ba-f8449ec90c12,App: ugandaemr.widget.eidSummary,Access eidSummary On Patient Dashboard
b1147517-c28d-4ad0-9f21-ef84e2e50414,App: ugandaemr.widget.lastARTVisitSummary,Access Last ART Visit Summary on patient dashborad
014fa1f5-7862-47d9-a977-a0b75bc33af9,App: ugandaemr.widget.mchSummary,Access MCH Summary on patient Dashboard
17a0465c-3b24-420b-9d4b-214e93a1d594,App: ugandaemr.widget.nextAppointment,Access next appointment widgets
cffc1f04-5b67-4e16-9844-18d331a79809,App: ugandaemr.widget.patientSummary,Access Patient Summary on patient dashboard
2b54b3f6-7a7a-4713-858b-74e2a8af6ec9,App: ugandaemr.widget.regimenChangeList,Allow HIV Clinicians to view Regimen line change List
2a54b3f6-7a7a-4713-858b-74e2a8af6ec9,App: ugandaemr.widget.regimenLinesSummary,Allow HIV Clinicians to view Regimen line changes
348b278d-4050-4635-915d-3c2e13a0a6eb,App: ugandaemr.widget.tptStatus,Access tpt History on patient dashboard
4f8329f8-77ff-4a6f-a1a2-309c99f2224a,App: ugandaemr.widget.viralLoadHistory,Access Viral load History on patient dashboard
93e8e3ba-775d-4a05-b547-bf67ab0f42e8,App: ugandaemrpoc.artclinic,Access to the HIV clinic provider dashboard
b663fd6f-05fd-4553-be68-215464059977,App: ugandaemrpoc.counselingCenter,Access to the counseling center
c837c951-b7bb-456d-8f49-8d439c0e8822,App: ugandaemrpoc.findPatient,find patient ugandaemrpoc app privilege
0adadcd3-43b3-4cb6-9a81-39f7e6240846,App: ugandaemrpoc.laboratory,Access to the laboratory dashboard
7949e7fa-0564-11ea-a69e-362b9e155667,App: ugandaemrpoc.mchclinic,Access to the mch provider dashboard
27c729b9-1426-436b-8c37-976a29c6f28d,App: ugandaemrpoc.outpatient,Access to the OPD clinic provider dashboard
ad63a284-795d-4523-a55c-019aa189b09f,App: ugandaemrpoc.pharmacy,Access to the Pharmacy dashboard
6a33b789-e78d-4cf1-881b-b00e8fe1af84,App: ugandaemrpoc.tbclinic,Access to the TB Clinic provider dashboard
52b04846-410d-4b35-9d7f-8b3847b64681,App: ugandaemrpoc.triage,Access to the triage provider dashboard
253b62ec-9e84-4c57-8c20-4e59eecdf21a,App: ugandaemrreports.activePatientsInCare,lostToFollowUp report access privillege
08786184-99db-404b-81c7-672efb65ca61,App: ugandaemrreports.adherenceReport,Adherence Report access privillege
d038b5bc-4e37-49a9-8740-046f86ebaf23,App: ugandaemrreports.ANCRegister,ANC Register access privillege
c01a7898-90e3-422a-b5b3-6289fe86f002,App: ugandaemrreports.appointmentList,Appointment List report access privillege
bda29fe7-36cd-49fa-b7d9-91ba416c7696,App: ugandaemrreports.appointmentsList,Appointments List report access privillege
8008e915-55d6-45a1-b30a-cfe3b01d6868,App: ugandaemrreports.ARTPatientExport,ART Patient Export report access privillege
f3685304-4687-4b4e-b62d-deae5b281516,App: ugandaemrreports.ARTRegister,ART Register access privillege
775a2301-d471-4f7e-abf3-6e6a549d1f7a,App: ugandaemrreports.caseBasedSurveillanceEIDReport,CaseBased Surveillance EID report access privillege
591a016e-1ab3-4d08-a751-7b03deb3be22,App: ugandaemrreports.CBSAdultQuarterlyReport,CBS Adult Quarterly Report report access privillege
9b74978f-df4b-4103-8340-bc68c18d2327,App: ugandaemrreports.DSDMStablityAssessmentReport,DSDM Stablity Assessment report access privillege
be44831e-da7c-45ec-9833-5389fbcde48d,App: ugandaemrreports.dueForViralLoad,dueForViralLoad report access privillege
00738276-8cdc-4414-bf72-3a4703bc03a9,App: ugandaemrreports.EIDRegister,EID Register access privillege
0f0d57bb-cc5b-408c-bb11-f8842be4c523,App: ugandaemrreports.EWILostToFollowUp,EWI Lost ToFollow Up report access privillege
470bdd27-19ab-4d34-b722-254125542832,App: ugandaemrreports.exposedInfantDuefor1stPCR,Exposed Infant Due for 1st PCR report access privillege
4e5de915-e17f-46c1-bc21-9919f77a71ee,App: ugandaemrreports.exposedInfantsDuefor1stPCR,Exposed Infants Due for 1st PCR report access privillege
b3dda88c-ca2b-4a0d-a655-09370354f176,App: ugandaemrreports.exposedInfantsDuefor2ndPCR,Exposed Infants Due for 2nd PCR report access privillege
1ddae09a-0a93-4a77-b15b-200a17309d1d,App: ugandaemrreports.exposedInfantsDuefor2ndPCRR,Exposed Infants Due for 2nd PCRR report access privillege
941e27ce-c229-4b54-8e21-e8f77fe8045e,App: ugandaemrreports.exposedInfantsDueforAppointment,Exposed Infants Due for Appointment report access privillege
109771b1-421b-43e1-8b65-8813ea043437,App: ugandaemrreports.exposedInfantsDueforRapidTest,Exposed Infants Due for Rapid Test report access privillege
733096dd-4700-47b1-94b1-a6d33c7d82cc,App: ugandaemrreports.facilityDeathList,Facility Death List report access privillege
a343762c-6f54-47ec-b634-fc339d10a2ca,App: ugandaemrreports.familyConnectEMTCTModuleDataExport,Family Connect EMTCT Module Data Export report access privillege
5eda465a-eeba-4f77-b1a9-2c136043b19f,App: ugandaemrreports.HCAReport,HCA  report access privillege
14a09ff4-cf4a-462c-a3b7-b2520a21f041,App: ugandaemrreports.hCTCardDataExport,hCT Card Data Export report access privillege
318eaf69-5446-4d9a-9985-5df24470c7bf,App: ugandaemrreports.HMIS055-HCTRegister,HMIS 055-HCT Register access privillege
81700cbf-bbeb-47c3-9187-21f1b4b34039,App: ugandaemrreports.HMIS105,HMIS105 report access privillege
1e30de94-2139-4fe5-857f-36a5dd25db81,App: ugandaemrreports.HMIS106aSection1A,HMIS106a Section 1A report access privillege
3c1c360d-d9e8-412a-8ea8-ba6540423710,App: ugandaemrreports.HMIS106aSection1B,HMIS106a Section 1B report access privillege
f0175a69-fcb0-483e-ba3e-ba590de14928,App: ugandaemrreports.HMIS106aWithDSDMAggregations,HMIS 106a With DSDM Aggregations report access privillege
98a55ed4-f13b-4b75-849f-c96148343a3f,App: ugandaemrreports.HMIS177ViralLoadAddendumQuarterlyReport,HMIS177 Viral Load Addendum Quarterly Report report access privillege
b1ad6fea-7f4d-4a0d-946a-af991ab589f6,App: ugandaemrreports.HTSClientCardDataExport,HTS Client Card Data Export report access privillege
259264bc-8c7a-4069-b2f9-acb60c895af8,App: ugandaemrreports.lostClients,transferInList report access privillege
d4fb84a0-1e46-4081-b749-82cc939ae911,App: ugandaemrreports.lostToFollowUp,report access privillege
a71adf66-fce8-406e-b81c-e66e66d527f8,App: ugandaemrreports.maternityRegister,Maternity Register  access privillege
664833af-60bd-4bf2-a64e-787ebdb54662,App: ugandaemrreports.MERHCTTSTFacilityReport,MER HCT TST Facility Report access privillege
ffd54af4-ad53-4672-a2f2-887b9770e0e0,App: ugandaemrreports.MERHTSRECENTReport,MER HTS RECENT report access privillege
57723a66-4496-4145-bad6-2e0fae7b732c,App: ugandaemrreports.MERPMTCTSTATReport,MER PMTCT STAT Report access privillege
3deda687-c028-4136-93eb-e0fdc442d7b4,App: ugandaemrreports.MERTBARTReport,MER TB ART Report access privillege
44bc7b72-3db5-4909-a29e-8537574abcc8,App: ugandaemrreports.MERTBSTATReport,MER TB STAT Report access privillege
d6f46ad5-6239-47ad-b160-fa5bb884df6a,App: ugandaemrreports.MERTxCurrent_30DaysReport,MER Tx Current_30 Days report access privillege
d10832c1-1770-4464-b22e-c0c8e0a94892,App: ugandaemrreports.MERTxCurrent_90DaysReport,MER Tx Current_90 Days Report access privillege
d158bf36-9568-492e-9d3a-dde674c44140,App: ugandaemrreports.MERTxNewReport,MER Tx New Report access privillege
bdb6a64c-6244-41be-a981-f8024bd26584,App: ugandaemrreports.MERTX_TB,MER TX_TB report access privillege
e50ab067-358a-4daf-9b5e-1e01bdbaaccb,App: ugandaemrreports.missedAppointmentList,Missed Appointment List report access privillege
bcb09563-5733-4833-b389-586522e9e909,App: ugandaemrreports.missedAppointmentsList,Missed Appointments List report access privillege
003cff8a-8d6d-4861-9233-2c3705db52a8,App: ugandaemrreports.nonSuppressedViralLoad,nonSuppressedViralLoad report access privillege
f8c1b28b-9c1b-43b6-9958-9799bdc740a0,App: ugandaemrreports.OPDRegister,OPDRegister report access privillege
a7193e54-47d1-472a-8a81-81f111ae0c3f,App: ugandaemrreports.optionBWeeklySMSReport,OptionB+ Weekly SMS  report access privillege
252c48f8-0fe4-4aa7-8e44-275d71b01e79,App: ugandaemrreports.overdueforViralLoad,overdueforViralLoad report access privillege
0807e36c-63e3-409a-bc19-bcaf69e7c50b,App: ugandaemrreports.patientAppointmentBook,patientAppointmentBook report access privillege
bd61c706-1719-4def-aff0-51b179984d1e,App: ugandaemrreports.patientDSDMModelReport,patientDSDMModelReport report access privillege
d3a373e2-4440-4439-9e81-425689550ab6,App: ugandaemrreports.pillPickup,Pill Pickup report access privillege
57618970-ce4f-416e-b849-b3a6636f9ab2,App: ugandaemrreports.PNCRegister,PNC Register  access privillege
a5cf8487-e0f3-4bdf-81c8-43f2ef630565,App: ugandaemrreports.pre-ARTRegister,Pre-ART Register  access privillege
d50b696a-5cdf-40f7-9021-33380e63dc4f,App: ugandaemrreports.recencyHTSClientCardDataExport,Recency HTS Client Card Data Export report access privillege
a307f5b8-d171-4475-b171-820305e28b51,App: ugandaemrreports.SMCRegister,SMCRegister report access privillege
b2669bbf-9373-480d-b498-b678fb4a7a8b,App: ugandaemrreports.TBRegister,TB Register access privillege
d59e2a96-af6c-4bf8-9b88-68c00c2e48e9,App: ugandaemrreports.transferInList,report access privillege
3a9d4ba5-4bc1-48e7-99c4-04369dc13da2,App: ugandaemrreports.transferOutList,transferOutListreport access privillege
ef0e24a2-b40b-425f-b514-4c929ebd7e9c,App: ugandaemrreports.UgandaEMRReports2014HMISTools,UgandaEMR Reports 2014 HMIS Tools report access privillege
b5e71c75-d0fa-4f42-9f37-1bdf9285d72e,App: ugandaemrreports.UgandaEMRReports2019HMISTools,UgandaEMR Reports 2019 HMIS Tools report access privillege
9fb9c77a-e7c4-477a-9439-90556218c1d5,App: ugandaemrreports.viralLoadSupression,Viral Load Supression report access privillege
3a64c882-f3fb-4e52-8b49-2d4c9c615129,App: View Cashier App,Able to see the Cashier App Icon on the home page
5f8f9167-4001-11ee-8181-2a3773259ccd,app:adt,Admission Discharge Transfer app access privilege
5c8269a6-4001-11ee-8181-2a3773259ccd,Appointments: Invite Providers,"With this privilege, providers can invite others to an appointment"
5f94fbf8-4001-11ee-8181-2a3773259ccd,Assign Beds,Able to assign bed to patient
df29939d-d3fd-47a5-b706-c1a3e1dea4da,Assign System Developer Role,Able to assign System Developer role
2d3f695e-c45f-44bd-a08e-58af490760ba,Cancel Visit Button,Cancel Visit Button
fa15cf48-ae39-49bd-b007-415e9607ec36,Configure Visits,Able to choose encounter visit handler and enable/disable encounter visits
550e8400-e29b-41d4-a716-446655440000,Create Attachments,Allowed to create attachments
d1530dde-47c9-11f0-bcbd-bf35c84f3004,Create Teleconsultation,Able to create Teleconsultation Link in Teleconsultation module
334932e3-6a8a-4883-873f-a01182019d23,Dashboard : View HIE dasboard,Allow user to view HIE dashboard
5e9fa8f4-ac53-4427-bd17-ec969ce00eb3,Delete Appointment,Delete Appointment
129a9ca2-440a-11e6-a65c-00e04c680037,Delete Cohorts,Able to add a cohort to the system
129a9cc7-440a-11e6-a65c-00e04c680037,Delete Concept Proposals,Able to delete concept proposals from the system
d148e1bf-e5cd-447c-8a3f-8ab66fb238eb,Delete Conditions,Able to delete conditions
a03f2e76-a253-4c4c-b427-c0c4f94ed6c5,Delete Diagnoses,Able to delete diagnoses
129a9cf2-440a-11e6-a65c-00e04c680037,Delete Encounters,Able to delete patient encounters
ef7e9169-405b-455b-8c70-f935b8e04e6b,Delete HL7 Inbound Archive,Able to delete/retire an HL7 archive item
1c5a4e99-91da-4a94-ac45-3fb1857bbd66,Delete HL7 Inbound Exception,Able to delete an HL7 archive item
e2b5ce59-9b8f-4ca7-9394-7f55b4fce59e,Delete HL7 Inbound Queue,Able to delete an HL7 Queue item
6db838b0-a8a4-4386-afbc-6f4a409ab21a,Delete Medication Dispense,Able to delete Medication Dispenses
6b46d674-2635-4747-8b9f-c57cc775092d,Delete Notes,Able to delete patient notes
129a9d18-440a-11e6-a65c-00e04c680037,Delete Observations,Able to delete patient observations
129a9d3c-440a-11e6-a65c-00e04c680037,Delete Orders,Able to delete orders
129a9d62-440a-11e6-a65c-00e04c680037,Delete Patient Identifiers,Able to delete patient identifiers
129a9d89-440a-11e6-a65c-00e04c680037,Delete Patient Programs,Able to delete patients from programs
129a9daf-440a-11e6-a65c-00e04c680037,Delete Patients,Able to delete patients
129a9dd5-440a-11e6-a65c-00e04c680037,Delete People,Able to delete objects
129a9dfa-440a-11e6-a65c-00e04c680037,Delete Relationships,Able to delete relationships
129a9e21-440a-11e6-a65c-00e04c680037,Delete Report Objects,Able to delete report objects
129a9e45-440a-11e6-a65c-00e04c680037,Delete Reports,Able to delete reports
129a9e6a-440a-11e6-a65c-00e04c680037,Delete Users,Able to delete users in OpenMRS
fdcc981a-5102-4294-b16b-4f9230d7aa17,Delete Visits,Able to delete visits
5f9a011d-4001-11ee-8181-2a3773259ccd,Edit Admission Locations,Able to Edit admission locations
3dba9a6c-3ff3-46da-acfc-18a3d3e281a2,Edit Allergies,Able to edit allergies
601fd85e-4001-11ee-8181-2a3773259ccd,Edit Bed Tags,Ability to edit bed tags
601b7ae5-4001-11ee-8181-2a3773259ccd,Edit Bed Type,Ability to edit bed types
601736ed-4001-11ee-8181-2a3773259ccd,Edit Beds,Ability to edit bed details
129a9e8f-440a-11e6-a65c-00e04c680037,Edit Cohorts,Able to add a cohort to the system
a61f064f-5bea-49a6-94bc-8a68a5a49aaa,Edit Cohorts In Cohort Module,Allows to edit Cohorts
129a9eb2-440a-11e6-a65c-00e04c680037,Edit Concept Proposals,Able to edit concept proposals in the system
82e449fd-5126-4935-a5b3-259a3df034e4,Edit conditions,Able to edit conditions
57f0e028-eba2-46df-8a15-ebeb71dbd823,Edit Diagnoses,Able to edit diagnoses
129a9ed8-440a-11e6-a65c-00e04c680037,Edit Encounters,Able to edit patient encounters
60b4585a-e97d-4a08-92e8-8a470a906ccb,Edit Medication Dispense,Able to edit Medication Dispenses
b6f26be0-f36e-4643-930f-ae8b7d7c53c3,Edit Notes,Able to edit patient notes
129a9efb-440a-11e6-a65c-00e04c680037,Edit Observations,Able to edit patient observations
129a9f1f-440a-11e6-a65c-00e04c680037,Edit Orders,Able to edit orders
76754035-2e2f-42ea-9d0c-408b2e0257ed,Edit Patient Demographics,Edit Patient Demographics
3e63bb7d-91d9-4b89-992a-a585593ba1e6,Edit Patient Details Button,Edit Patient Details Button
129a9f43-440a-11e6-a65c-00e04c680037,Edit Patient Identifiers,Able to edit patient identifiers
129a9f68-440a-11e6-a65c-00e04c680037,Edit Patient Programs,Able to edit patients in programs
129a9f8d-440a-11e6-a65c-00e04c680037,Edit Patients,Able to edit patients
129a9fb2-440a-11e6-a65c-00e04c680037,Edit People,Able to edit person objects
72725628-b493-4a50-8bd1-24dddfc2ea38,Edit Problems,Able to edit problems
129a9fd7-440a-11e6-a65c-00e04c680037,Edit Relationships,Able to edit relationships
129a9ffa-440a-11e6-a65c-00e04c680037,Edit Report Objects,Able to edit report objects
129aa01f-440a-11e6-a65c-00e04c680037,Edit Reports,Able to edit reports
daec1e74-1132-11ef-8d73-33e8f40e68de,Edit Tags,Able to associate tags to the bed
129aa044-440a-11e6-a65c-00e04c680037,Edit User Passwords,Able to change the passwords of users in OpenMRS
129aa06c-440a-11e6-a65c-00e04c680037,Edit Users,Able to edit users in OpenMRS
31889d58-cd72-4865-ac4a-fc17abeb0385,Edit Visits,Able to edit visits
4d4cca38-e157-4f5f-8046-3308ed36c2a1,Emr: View Legacy Interface,testing
129aa08f-440a-11e6-a65c-00e04c680037,Form Entry,Allows user to access Form Entry pages/functions
67dae43e-beef-440d-adb8-1ab793348a45,Generate Batch of Identifiers,Allows user to generate a batch of identifiers to a file for offline use
5f976ab9-4001-11ee-8181-2a3773259ccd,Get Admission Locations,Able to view admission locations
d05118c6-2490-4d78-a41a-390e3596a220,Get Allergies,Able to get allergies
601db866-4001-11ee-8181-2a3773259ccd,Get Bed Tags,Ability to view bed tags
60193384-4001-11ee-8181-2a3773259ccd,Get Bed Type,Ability to view bed types
5f92af20-4001-11ee-8181-2a3773259ccd,Get Beds,Able to view available beds
3ec4b6b2-0b67-4d67-9ab7-8d71e2b69229,Get Care Settings,Able to get Care Settings
f58fa3df-e4c5-4ba6-8dc8-ed89025685ab,Get Concept Attribute Types,Able to get concept attribute types
d05118c6-2490-4d78-a41a-390e3596a238,Get Concept Classes,Able to get concept classes
d05118c6-2490-4d78-a41a-390e3596a237,Get Concept Datatypes,Able to get concept datatypes
d05118c6-2490-4d78-a41a-390e3596a230,Get Concept Map Types,Able to get concept map types
d05118c6-2490-4d78-a41a-390e3596a250,Get Concept Proposals,Able to get concept proposals to the system
d05118c6-2490-4d78-a41a-390e3596a229,Get Concept Reference Terms,Able to get concept reference terms
d05118c6-2490-4d78-a41a-390e3596a231,Get Concept Sources,Able to get concept sources
d05118c6-2490-4d78-a41a-390e3596a251,Get Concepts,Able to get concept entries
b4cf2a62-1e95-4e0f-a375-06191ab9785c,Get conditions,Able to get conditions
d05118c6-2490-4d78-a41a-390e3596a222,Get Database Changes,Able to get database changes from the admin screen
932bc6a2-c09b-4119-90e3-82a70c334606,Get Diagnoses,Able to get diagnoses
2d42e074-1da5-4475-92e2-dc649ca60822,Get Diagnoses Attribute Types,Able to get diagnoses attribute types
